learnerID,sitesVisited,step,pr(rr),pr(fr),pr(sr),rr,fr,sr,rating,ratingCode
1,4,0,0.238,0.877,0.163,0.581085205,N/A,N/A,N/A,No Recommendation Request
1,4,1,0.238,0.877,0.163,0.4112854,N/A,N/A,N/A,No Recommendation Request
1,4,2,0.238,0.877,0.163,0.547271729,N/A,N/A,N/A,No Recommendation Request
1,4,3,0.238,0.877,0.163,0.886108398,N/A,N/A,N/A,No Recommendation Request
2,8,0,0.201,0.881,0.16,0.721801758,N/A,N/A,N/A,No Recommendation Request
2,8,1,0.201,0.881,0.16,0.652435303,N/A,N/A,N/A,No Recommendation Request
2,8,2,0.201,0.881,0.16,0.850402832,N/A,N/A,N/A,No Recommendation Request
2,8,3,0.201,0.881,0.16,0.003356934,0.805236816,0.5809021,N/A,No Rating Submission
2,8,4,0.201,0.881,0.16,0.990234375,N/A,N/A,N/A,No Recommendation Request
2,8,5,0.201,0.881,0.16,0.146789551,0.562469482,0.662994385,N/A,No Rating Submission
2,8,6,0.201,0.881,0.16,0.375152588,N/A,N/A,N/A,No Recommendation Request
2,8,7,0.201,0.881,0.16,0.888092041,N/A,N/A,N/A,No Recommendation Request
3,10,0,0.215,0.875,0.15,0.379821777,N/A,N/A,N/A,No Recommendation Request
3,10,1,0.215,0.875,0.15,0.43850708,N/A,N/A,N/A,No Recommendation Request
3,10,2,0.215,0.875,0.15,0.710418701,N/A,N/A,N/A,No Recommendation Request
3,10,3,0.215,0.875,0.15,0.853210449,N/A,N/A,N/A,No Recommendation Request
3,10,4,0.215,0.875,0.15,0.597229004,N/A,N/A,N/A,No Recommendation Request
3,10,5,0.215,0.875,0.15,0.152709961,0.482208252,0.545532227,N/A,No Rating Submission
3,10,6,0.215,0.875,0.15,0.322418213,N/A,N/A,N/A,No Recommendation Request
3,10,7,0.215,0.875,0.15,0.338806152,N/A,N/A,N/A,No Recommendation Request
3,10,8,0.215,0.875,0.15,0.359069824,N/A,N/A,N/A,No Recommendation Request
3,10,9,0.215,0.875,0.15,0.863830566,N/A,N/A,N/A,No Recommendation Request
4,13,0,0.229,0.865,0.154,0.93182373,N/A,N/A,N/A,No Recommendation Request
4,13,1,0.229,0.865,0.154,0.745178223,N/A,N/A,N/A,No Recommendation Request
4,13,2,0.229,0.865,0.154,0.190826416,0.825439453,0.031433105,2,
4,13,3,0.229,0.865,0.154,0.53314209,N/A,N/A,N/A,No Recommendation Request
4,13,4,0.229,0.865,0.154,0.268951416,N/A,N/A,N/A,No Recommendation Request
4,13,5,0.229,0.865,0.154,0.827789307,N/A,N/A,N/A,No Recommendation Request
4,13,6,0.229,0.865,0.154,0.781951904,N/A,N/A,N/A,No Recommendation Request
4,13,7,0.229,0.865,0.154,0.870330811,N/A,N/A,N/A,No Recommendation Request
4,13,8,0.229,0.865,0.154,0.977539063,N/A,N/A,N/A,No Recommendation Request
4,13,9,0.229,0.865,0.154,0.562896729,N/A,N/A,N/A,No Recommendation Request
4,13,10,0.229,0.865,0.154,0.251037598,N/A,N/A,N/A,No Recommendation Request
4,13,11,0.229,0.865,0.154,0.666778564,N/A,N/A,N/A,No Recommendation Request
