learnerID,sitesVisited,step,pr(rr),pr(fr),pr(sr),randomNumber,nodeRecommendationID
2,8,3,0.201,0.881,0.16,0.805237,0
2,8,5,0.201,0.881,0.16,0.562469,1
3,10,5,0.215,0.875,0.15,0.482208,0
4,13,2,0.229,0.865,0.154,0.825439,0
5,9,1,0.22,0.871,0.172,0.957367,0
5,9,3,0.22,0.871,0.172,0.194824,1
6,19,1,0.22,0.863,0.181,0.342102,0
6,19,4,0.22,0.863,0.181,0.487427,1
6,19,6,0.22,0.863,0.181,0.384308,2
6,19,13,0.22,0.863,0.181,0.288055,3
7,8,1,0.209,0.866,0.153,0.037964,0
7,8,6,0.209,0.866,0.153,0.990448,1
7,8,7,0.209,0.866,0.153,0.760345,2
8,10,3,0.223,0.887,0.165,0.512787,0
8,10,6,0.223,0.887,0.165,0.342468,3
8,10,7,0.223,0.887,0.165,0.357178,5
9,13,1,0.199,0.871,0.156,0.625366,3
10,7,3,0.2,0.876,0.158,0.000305,3
10,7,4,0.2,0.876,0.158,0.097626,5
11,2,1,0.194,0.867,0.189,0.698334,3
12,19,2,0.221,0.877,0.142,0.105774,3
12,19,9,0.221,0.877,0.142,0.264648,7
12,19,14,0.221,0.877,0.142,0.8461,5
13,8,4,0.232,0.87,0.181,0.88443,7
15,15,0,0.218,0.879,0.17,0.154572,7
15,15,8,0.218,0.879,0.17,0.336487,5
16,8,3,0.201,0.854,0.167,0.290924,7
17,16,6,0.22,0.885,0.159,0.823578,7
17,16,7,0.22,0.885,0.159,0.240723,5
17,16,12,0.22,0.885,0.159,0.401855,8
17,16,13,0.22,0.885,0.159,0.626404,2
17,16,14,0.22,0.885,0.159,0.58725,3
17,16,15,0.22,0.885,0.159,0.845795,0
18,10,1,0.213,0.871,0.173,0.968414,7
18,10,5,0.213,0.871,0.173,0.074951,5
19,5,1,0.203,0.874,0.147,0.63446,7
20,16,3,0.203,0.875,0.159,0.936737,7
20,16,4,0.203,0.875,0.159,0.848358,5
20,16,7,0.203,0.875,0.159,0.130066,8
20,16,8,0.203,0.875,0.159,0.612793,2
21,6,1,0.224,0.868,0.161,0.676788,7
21,6,2,0.224,0.868,0.161,0.984894,5
22,11,0,0.213,0.886,0.179,0.257721,7
22,11,5,0.213,0.886,0.179,0.817261,5
22,11,6,0.213,0.886,0.179,0.912201,8
24,12,3,0.204,0.882,0.181,0.629303,8
24,12,10,0.204,0.882,0.181,0.733002,5
26,20,13,0.21,0.877,0.164,0.054169,8
26,20,17,0.21,0.877,0.164,0.084595,5
26,20,19,0.21,0.877,0.164,0.942596,2
27,10,8,0.197,0.884,0.171,0.7901,8
28,20,2,0.222,0.858,0.156,0.125977,8
28,20,5,0.222,0.858,0.156,0.538727,5
28,20,15,0.222,0.858,0.156,0.30014,2
29,20,1,0.225,0.848,0.187,0.592224,5
29,20,7,0.225,0.848,0.187,0.240997,2
31,10,5,0.21,0.878,0.158,0.381836,5
33,22,6,0.215,0.885,0.181,0.381714,5
33,22,7,0.215,0.885,0.181,0.264465,4
33,22,9,0.215,0.885,0.181,0.58609,0
33,22,11,0.215,0.885,0.181,0.628876,9
33,22,12,0.215,0.885,0.181,0.030579,6
34,3,1,0.204,0.891,0.151,0.567963,4
35,23,7,0.211,0.883,0.171,0.54071,4
35,23,10,0.211,0.883,0.171,0.632477,0
35,23,12,0.211,0.883,0.171,0.339844,9
35,23,14,0.211,0.883,0.171,0.793915,3
35,23,17,0.211,0.883,0.171,0.670807,6
36,19,1,0.226,0.864,0.15,0.970367,4
36,19,11,0.226,0.864,0.15,0.653809,0
37,9,1,0.204,0.862,0.175,0.374878,4
37,9,8,0.204,0.862,0.175,0.221954,0
38,27,10,0.186,0.87,0.168,0.412231,4
38,27,13,0.186,0.87,0.168,0.0065,0
38,27,22,0.186,0.87,0.168,0.442444,9
39,5,3,0.233,0.878,0.159,0.655396,4
40,16,2,0.217,0.889,0.162,0.301239,4
40,16,7,0.217,0.889,0.162,0.881287,0
41,17,1,0.222,0.866,0.147,0.888214,4
41,17,4,0.222,0.866,0.147,0.063995,0
41,17,5,0.222,0.866,0.147,0.893005,9
41,17,15,0.222,0.866,0.147,0.123291,3
42,3,2,0.208,0.883,0.156,0.695374,4
43,19,3,0.208,0.866,0.186,0.059601,4
43,19,5,0.208,0.866,0.186,0.209961,0
43,19,7,0.208,0.866,0.186,0.538269,9
43,19,16,0.208,0.866,0.186,0.128815,3
44,18,0,0.229,0.874,0.148,0.265167,4
44,18,3,0.229,0.874,0.148,0.991241,0
44,18,4,0.229,0.874,0.148,0.486664,9
44,18,9,0.229,0.874,0.148,0.14743,8
44,18,17,0.229,0.874,0.148,0.685394,3
45,23,4,0.212,0.857,0.18,0.884979,9
45,23,8,0.212,0.857,0.18,0.115692,3
45,23,15,0.212,0.857,0.18,0.303833,0
45,23,20,0.212,0.857,0.18,0.349518,6
46,15,0,0.215,0.874,0.166,0.481628,6
46,15,4,0.215,0.874,0.166,0.497101,4
46,15,5,0.215,0.874,0.166,0.170502,9
46,15,8,0.215,0.874,0.166,0.449066,1
48,11,0,0.235,0.876,0.14,0.215637,6
48,11,3,0.235,0.876,0.14,0.115143,4
48,11,10,0.235,0.876,0.14,0.191833,9
49,29,1,0.196,0.879,0.164,0.452759,4
49,29,3,0.196,0.879,0.164,0.273315,9
49,29,17,0.196,0.879,0.164,0.138214,0
49,29,22,0.196,0.879,0.164,0.386322,6
49,29,23,0.196,0.879,0.164,0.84967,1
49,29,25,0.196,0.879,0.164,0.371216,5
49,29,27,0.196,0.879,0.164,0.62558,7
50,11,9,0.227,0.872,0.161,0.345947,6
51,2,1,0.229,0.874,0.177,0.47406,9
52,16,7,0.214,0.861,0.158,0.566315,9
52,16,9,0.214,0.861,0.158,0.530457,4
52,16,11,0.214,0.861,0.158,0.395386,6
53,21,1,0.213,0.877,0.152,0.386627,9
53,21,9,0.213,0.877,0.152,0.136475,4
53,21,19,0.213,0.877,0.152,0.673004,6
53,21,20,0.213,0.877,0.152,0.737213,5
54,20,2,0.213,0.88,0.162,0.417389,5
54,20,10,0.213,0.88,0.162,0.659485,6
54,20,11,0.213,0.88,0.162,0.656281,7
54,20,14,0.213,0.88,0.162,0.94281,0
54,20,19,0.213,0.88,0.162,0.557373,3
55,20,0,0.214,0.885,0.152,0.163483,5
55,20,8,0.214,0.885,0.152,0.0448,6
55,20,10,0.214,0.885,0.152,0.765442,7
55,20,13,0.214,0.885,0.152,0.455261,0
55,20,15,0.214,0.885,0.152,0.263428,3
56,12,3,0.225,0.878,0.157,0.486969,5
56,12,9,0.225,0.878,0.157,0.942688,6
56,12,11,0.225,0.878,0.157,0.057098,7
57,27,3,0.2,0.865,0.169,0.565277,5
57,27,9,0.2,0.865,0.169,0.793243,6
57,27,10,0.2,0.865,0.169,0.450745,7
57,27,20,0.2,0.865,0.169,0.617401,8
58,10,0,0.205,0.87,0.162,0.827179,5
58,10,2,0.205,0.87,0.162,0.709564,8
58,10,4,0.205,0.87,0.162,0.584106,3
58,10,5,0.205,0.87,0.162,0.418427,7
58,10,6,0.205,0.87,0.162,0.594757,0
59,19,4,0.222,0.869,0.161,0.577881,5
59,19,5,0.222,0.869,0.161,0.848389,8
59,19,14,0.222,0.869,0.161,0.014984,7
59,19,16,0.222,0.869,0.161,0.492371,2
60,19,5,0.205,0.864,0.158,0.292847,2
60,19,9,0.205,0.864,0.158,0.401489,7
60,19,14,0.205,0.864,0.158,0.068756,3
60,19,18,0.205,0.864,0.158,0.088654,6
61,9,3,0.234,0.885,0.157,0.034058,2
62,4,2,0.236,0.884,0.168,0.550446,2
63,14,0,0.217,0.88,0.158,0.667328,2
63,14,9,0.217,0.88,0.158,0.414215,7
63,14,12,0.217,0.88,0.158,0.062439,3
64,14,7,0.203,0.902,0.153,0.214355,2
64,14,11,0.203,0.902,0.153,0.327606,7
65,18,0,0.204,0.878,0.172,0.946075,2
65,18,9,0.204,0.878,0.172,0.453979,7
65,18,15,0.204,0.878,0.172,0.200653,3
66,17,5,0.211,0.857,0.171,0.30658,2
66,17,8,0.211,0.857,0.171,0.410736,7
66,17,10,0.211,0.857,0.171,0.629028,3
66,17,14,0.211,0.857,0.171,0.221741,6
67,9,7,0.209,0.865,0.155,0.248138,2
68,17,1,0.222,0.872,0.169,0.003387,2
68,17,6,0.222,0.872,0.169,0.278259,7
68,17,13,0.222,0.872,0.169,0.141785,3
69,19,0,0.226,0.871,0.174,0.064209,2
69,19,1,0.226,0.871,0.174,0.233948,7
69,19,6,0.226,0.871,0.174,0.977417,6
69,19,7,0.226,0.871,0.174,0.087769,1
70,13,2,0.212,0.871,0.166,0.814331,2
70,13,3,0.212,0.871,0.166,0.271454,6
70,13,4,0.212,0.871,0.166,0.829102,1
70,13,10,0.212,0.871,0.166,0.773315,7
70,13,12,0.212,0.871,0.166,0.158569,3
71,20,0,0.189,0.874,0.161,0.495667,2
71,20,10,0.189,0.874,0.161,0.56842,6
71,20,11,0.189,0.874,0.161,0.874237,1
71,20,12,0.189,0.874,0.161,0.026184,7
71,20,16,0.189,0.874,0.161,0.583313,5
71,20,17,0.189,0.874,0.161,0.199921,8
72,13,1,0.221,0.887,0.206,0.732208,5
72,13,6,0.221,0.887,0.206,0.265747,8
72,13,12,0.221,0.887,0.206,0.741028,3
