learnerID,sitesVisited,step,pr(rr),pr(fr),pr(sr),randomNumber
1,4,0,0.238,0.877,0.163,0.692108
1,4,1,0.238,0.877,0.163,0.544769
1,4,2,0.238,0.877,0.163,0.810577
1,4,3,0.238,0.877,0.163,0.575043
2,8,0,0.201,0.881,0.16,0.056458
2,8,0,0.201,0.881,0.16,0.495941
2,8,0,0.201,0.881,0.16,0.113312
2,8,0,0.201,0.881,0.16,0.162079
2,8,1,0.201,0.881,0.16,0.650848
2,8,2,0.201,0.881,0.16,0.845856
2,8,3,0.201,0.881,0.16,0.779358
2,8,4,0.201,0.881,0.16,0.735565
2,8,5,0.201,0.881,0.16,0.008789
2,8,5,0.201,0.881,0.16,0.064392
2,8,5,0.201,0.881,0.16,0.160919
2,8,6,0.201,0.881,0.16,0.794434
2,8,7,0.201,0.881,0.16,0.767334
3,10,0,0.215,0.875,0.15,0.50058
3,10,1,0.215,0.875,0.15,0.887726
3,10,2,0.215,0.875,0.15,0.396576
3,10,3,0.215,0.875,0.15,0.493652
3,10,4,0.215,0.875,0.15,0.568359
3,10,5,0.215,0.875,0.15,0.151581
3,10,5,0.215,0.875,0.15,0.605621
3,10,5,0.215,0.875,0.15,0.654358
3,10,6,0.215,0.875,0.15,0.057739
3,10,6,0.215,0.875,0.15,0.144958
3,10,6,0.215,0.875,0.15,0.372467
3,10,7,0.215,0.875,0.15,0.620392
3,10,8,0.215,0.875,0.15,0.472107
3,10,9,0.215,0.875,0.15,0.001099
3,10,9,0.215,0.875,0.15,0.21048
3,10,9,0.215,0.875,0.15,0.303131
4,13,0,0.229,0.865,0.154,0.497375
4,13,1,0.229,0.865,0.154,0.548462
4,13,2,0.229,0.865,0.154,0.007568
4,13,2,0.229,0.865,0.154,0.715057
4,13,2,0.229,0.865,0.154,0.932495
4,13,3,0.229,0.865,0.154,0.628998
4,13,4,0.229,0.865,0.154,0.567078
4,13,5,0.229,0.865,0.154,0.069061
4,13,5,0.229,0.865,0.154,0.508514
4,13,5,0.229,0.865,0.154,0.389343
4,13,6,0.229,0.865,0.154,0.719727
4,13,7,0.229,0.865,0.154,0.913574
4,13,8,0.229,0.865,0.154,0.608856
4,13,9,0.229,0.865,0.154,0.587097
4,13,10,0.229,0.865,0.154,0.015289
4,13,10,0.229,0.865,0.154,0.677765
4,13,10,0.229,0.865,0.154,0.347656
4,13,11,0.229,0.865,0.154,0.730896
4,13,12,0.229,0.865,0.154,0.216339
4,13,12,0.229,0.865,0.154,0.823029
4,13,12,0.229,0.865,0.154,0.348145
5,9,0,0.22,0.871,0.172,0.515228
5,9,1,0.22,0.871,0.172,0.263184
5,9,2,0.22,0.871,0.172,0.396393
5,9,3,0.22,0.871,0.172,0.453644
5,9,4,0.22,0.871,0.172,0.324554
5,9,5,0.22,0.871,0.172,0.114105
5,9,5,0.22,0.871,0.172,0.133728
5,9,5,0.22,0.871,0.172,0.873474
5,9,6,0.22,0.871,0.172,0.377747
5,9,7,0.22,0.871,0.172,0.558594
5,9,8,0.22,0.871,0.172,0.733002
6,19,0,0.22,0.863,0.181,0.549652
6,19,1,0.22,0.863,0.181,0.466278
6,19,2,0.22,0.863,0.181,0.058167
6,19,2,0.22,0.863,0.181,0.963165
6,19,3,0.22,0.863,0.181,0.2276
6,19,4,0.22,0.863,0.181,0.448792
6,19,5,0.22,0.863,0.181,0.991821
6,19,6,0.22,0.863,0.181,0.904144
6,19,7,0.22,0.863,0.181,0.936829
6,19,8,0.22,0.863,0.181,0.31427
6,19,9,0.22,0.863,0.181,0.180725
6,19,9,0.22,0.863,0.181,0.314117
6,19,9,0.22,0.863,0.181,0.209045
6,19,10,0.22,0.863,0.181,0.146027
6,19,10,0.22,0.863,0.181,0.809418
6,19,10,0.22,0.863,0.181,0.964233
6,19,11,0.22,0.863,0.181,0.874329
6,19,12,0.22,0.863,0.181,0.410065
6,19,13,0.22,0.863,0.181,0.200562
6,19,13,0.22,0.863,0.181,0.563324
6,19,13,0.22,0.863,0.181,0.136078
6,19,13,0.22,0.863,0.181,0.80127
6,19,14,0.22,0.863,0.181,0.082092
6,19,14,0.22,0.863,0.181,0.295471
6,19,14,0.22,0.863,0.181,0.579071
6,19,15,0.22,0.863,0.181,0.18985
6,19,15,0.22,0.863,0.181,0.772095
6,19,15,0.22,0.863,0.181,0.005402
6,19,15,0.22,0.863,0.181,0.129578
6,19,16,0.22,0.863,0.181,0.08374
6,19,16,0.22,0.863,0.181,0.645142
6,19,16,0.22,0.863,0.181,0.866272
6,19,17,0.22,0.863,0.181,0.58313
6,19,18,0.22,0.863,0.181,0.036438
6,19,18,0.22,0.863,0.181,0.806213
6,19,18,0.22,0.863,0.181,0.010254
7,8,0,0.209,0.866,0.153,0.497742
7,8,1,0.209,0.866,0.153,0.925171
7,8,2,0.209,0.866,0.153,0.300079
7,8,3,0.209,0.866,0.153,0.853882
7,8,4,0.209,0.866,0.153,0.855194
7,8,5,0.209,0.866,0.153,0.512451
7,8,6,0.209,0.866,0.153,0.357544
7,8,7,0.209,0.866,0.153,0.024231
7,8,7,0.209,0.866,0.153,0.459045
7,8,7,0.209,0.866,0.153,0.456482
8,10,0,0.223,0.887,0.165,0.984344
8,10,1,0.223,0.887,0.165,0.922607
8,10,2,0.223,0.887,0.165,0.679962
8,10,3,0.223,0.887,0.165,0.902954
8,10,4,0.223,0.887,0.165,0.048828
8,10,4,0.223,0.887,0.165,0.470459
8,10,4,0.223,0.887,0.165,0.063141
8,10,4,0.223,0.887,0.165,0.313263
8,10,5,0.223,0.887,0.165,0.674866
