learnerID,sitesVisited,step,node,pr(rr),pr(fr),pr(sr),rr,fr,sr,ratingValue,nodeValue
5,9,4,0,0.22,0.871,0.172,0.208557129,0.633575439,0.141662598,2,0.5
5,9,4,1,0.22,0.871,0.172,0.208557129,0.633575439,0.141662598,2,0.5
5,9,4,2,0.22,0.871,0.172,0.208557129,0.633575439,0.141662598,2,0.5
5,9,4,3,0.22,0.871,0.172,0.208557129,0.633575439,0.141662598,2,0.5
5,9,4,4,0.22,0.871,0.172,0.208557129,0.633575439,0.141662598,2,0.5
5,9,4,5,0.22,0.871,0.172,0.208557129,0.633575439,0.141662598,2,0.5
5,9,4,6,0.22,0.871,0.172,0.208557129,0.633575439,0.141662598,2,0.5
5,9,4,7,0.22,0.871,0.172,0.208557129,0.633575439,0.141662598,2,0.5
5,9,4,8,0.22,0.871,0.172,0.208557129,0.633575439,0.141662598,2,0.5
5,9,4,9,0.22,0.871,0.172,0.208557129,0.633575439,0.141662598,2,0.5
7,8,7,0,0.209,0.866,0.153,0.147705078,0.762481689,0.098754883,0,0.27239272
7,8,7,1,0.209,0.866,0.153,0.147705078,0.762481689,0.098754883,0,0.309249672
7,8,7,2,0.209,0.866,0.153,0.147705078,0.762481689,0.098754883,0,0.339596886
7,8,7,3,0.209,0.866,0.153,0.147705078,0.762481689,0.098754883,0,0.256686006
7,8,7,4,0.209,0.866,0.153,0.147705078,0.762481689,0.098754883,0,0.455607938
7,8,7,5,0.209,0.866,0.153,0.147705078,0.762481689,0.098754883,0,0.260282143
7,8,7,6,0.209,0.866,0.153,0.147705078,0.762481689,0.098754883,0,0.49472486
7,8,7,7,0.209,0.866,0.153,0.147705078,0.762481689,0.098754883,0,0.264741914
7,8,7,8,0.209,0.866,0.153,0.147705078,0.762481689,0.098754883,0,0.264719699
7,8,7,9,0.209,0.866,0.153,0.147705078,0.762481689,0.098754883,0,0.314825262
8,10,7,0,0.223,0.887,0.165,0.177032471,0.810913086,0.013916016,4,0.434542388
8,10,7,1,0.223,0.887,0.165,0.177032471,0.810913086,0.013916016,4,0.640487941
8,10,7,2,0.223,0.887,0.165,0.177032471,0.810913086,0.013916016,4,0.663473446
8,10,7,3,0.223,0.887,0.165,0.177032471,0.810913086,0.013916016,4,0.562915147
8,10,7,4,0.223,0.887,0.165,0.177032471,0.810913086,0.013916016,4,0.488969301
8,10,7,5,0.223,0.887,0.165,0.177032471,0.810913086,0.013916016,4,0.623947201
8,10,7,6,0.223,0.887,0.165,0.177032471,0.810913086,0.013916016,4,0.703144595
